Car,Style,Range,Transmission,VehicleType,PriceRange,Capacity,BootSpace
Tata Nexon EV,Compact SUV,312 Km/Full Charge,Automatic,Electric,13.99 - 17.4 L,5 Seater ,350 L
Tata Tigor EV,Subcompact Sedan,306 Km/Full Charge,Automatic,Electric,12.49 - 13.64 L,5 Seater ,316 L
MG ZS EV,Compact SUV,419 Km/Full Charge,Automatic,Electric,21.99 - 25.88 L,5 Seater ,448 L
Hyundai Kona Electric,Compact SUV,452 Km/Full Charge,Automatic,Electric,23.79 - 23.98 L,5 Seater ,332 L
Jaguar I-Pace,Premium Midsize Sedan,470 Km/Full Charge,Automatic,Electric,1.06 - 1.12 Cr,5 Seater ,656 L
Audi E-Tron GT,Premium Coupe,388 Km/Full Charge,Automatic,Electric,1.8 Cr,5 Seater ,405 L
BYD E6,Subcompact MPV,415 Km/Full Charge,Automatic,Electric,29.15 L,5 Seater ,580 L
Mercedes Benz EQC,Compact SUV,471 Km/Full Charge,Automatic,Electric,1 Cr,5 Seater ,500 L
BMW iX,Premium Fullsize SUV,425 Km/Full Charge,Automatic,Electric,1.16 Cr,5 Seater ,500 L
Porsche Taycan,Premium Sports Sedan,na,Automatic,Electric,1.5 Cr,4 Seater ,446 L
Audi E-Tron,Compact SUV,400 Km/Full Charge,Automatic,Electric,1.01 - 1.19 Cr,5 Seater ,660 L
Mahindra XUV 400,Compact SUV,456 Km/Full Charge,Automatic,Electric,15.99 - 18.99 L,5 Seater ,378 L
Tata Tiago EV,Hatchback,315 Km/Full Charge,Automatic,Electric,8.49 - 11.79 L,5 Seater ,240 L
